OSEBuildingID,DataYear,NumberofBuildings,PropertyGFAParking,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,building_rise,LargestUseType,SecondLargestUseType,ThirdLargestUseType,zip_code,building_age,building_age_bin,area_per_floor,distance(km)
1,2015,1.0,0,88434.0,0.0,0.0,65.0,6981428.0,249.43,(10+) HR High Rise,hotel-like,none,none,98101,95.0,80 à 100,7369.5,0.5188874130770834
2,2015,1.0,15064,83880.0,15064.0,4622.0,51.0,8354235.0,263.51,(10+) HR High Rise,hotel-like,parking,shops,98101,26.0,20 à 40,8045.636363636364,0.32540007061035026
3,2015,1.0,0,757243.0,100000.0,0.0,18.0,73130656.0,2061.48,(10+) HR High Rise,hotel-like,parking,other,98101,53.0,40 à 60,23463.170731707316,0.40471295454109657
5,2015,1.0,0,61320.0,0.0,0.0,1.0,28229320.0,1936.34,(10+) HR High Rise,hotel-like,none,none,98101,96.0,80 à 100,6132.0,0.27856761271184677
8,2015,1.0,12460,123445.0,68009.0,0.0,67.0,14829099.0,507.7,(10+) HR High Rise,hotel-like,parking,other,98121,42.0,40 à 60,5968.333333333333,0.5759361435068879
9,2015,1.0,37198,88830.0,0.0,0.0,,12051984.0,304.62,(1-4) LR Low Rise,other,none,none,98101,23.0,20 à 40,30045.0,0.21287087644720207
10,2015,1.0,0,81352.0,0.0,0.0,25.0,6252842.0,208.46,(10+) HR High Rise,hotel-like,none,none,98101,96.0,80 à 100,7546.181818181818,0.22996322473477987
11,2015,1.0,0,102761.0,0.0,0.0,,6426022.0,199.99,(5-9) MR Mid Rise,other,none,none,98101,96.0,80 à 100,12845.125,0.39914276173946006
12,2015,1.0,0,163984.0,0.0,0.0,46.0,12633744.0,331.61,(10+) HR High Rise,hotel-like,none,none,98104,118.0,> 100,10932.266666666666,1.4951362432649415
16,2015,1.0,61161,336640.0,0.0,0.0,32.0,27717026.0,723.4,(10+) HR High Rise,hotel-like,none,none,98101,24.0,20 à 40,10880.6,0.9813104984566624
17,2015,1.0,0,65009.0,0.0,0.0,39.0,6807227.0,334.87,(5-9) MR Mid Rise,hotel-like,none,none,98104,94.0,80 à 100,7223.222222222223,0.991972288745873
18,2015,1.0,57600,295511.0,57600.0,0.0,56.0,22811690.0,675.34,(10+) HR High Rise,hotel-like,parking,none,98101,42.0,40 à 60,7828.848484848485,0.8904700206584235
21,2015,1.0,57000,364913.0,49000.0,1074.0,,16849234.0,166.84,(10+) HR High Rise,other,parking,datacenter,98104,18.0,0 à 20,32272.727272727272,1.045023672790894
22,2015,1.0,0,90000.0,40000.0,0.0,,10340282.0,411.09,(5-9) MR Mid Rise,other,office,other,98104,92.0,80 à 100,17318.5,1.1769990263148964
23,2015,1.0,85000,348329.0,85000.0,0.0,30.0,33270518.0,755.12,(10+) HR High Rise,hotel-like,parking,none,98104,39.0,20 à 40,11831.464285714286,1.0795376093852989
24,2015,1.0,0,16442.0,15505.0,9741.0,,7481768.0,265.5,(5-9) MR Mid Rise,other,shops,office,98104,115.0,> 100,11490.4,1.178128363488181
26,2015,1.0,0,537150.0,0.0,0.0,67.0,53332648.0,1596.08,(10+) HR High Rise,campus,none,none,98104,106.0,> 100,54036.0,1.5075470415304495
27,2015,1.0,0,385274.0,0.0,0.0,,50899248.0,1795.42,(10+) HR High Rise,other,none,none,98104,37.0,20 à 40,20277.57894736842,1.448410734010368
28,2015,1.0,0,58320.0,0.0,0.0,96.0,1454222.0,35.17,(1-4) LR Low Rise,school,none,none,98118,61.0,60 à 80,28114.0,9.229186912947341
29,2015,1.0,30586,58006.0,30586.0,0.0,85.0,3880806.0,102.08,(5-9) MR Mid Rise,hotel-like,parking,none,98105,21.0,20 à 40,9667.666666666666,4.997999071727511
30,2015,1.0,0,125000.0,0.0,0.0,,9791557.0,308.6,(5-9) MR Mid Rise,campus,none,none,98121,94.0,80 à 100,18084.714285714286,0.34500449050145443
31,2015,1.0,0,67224.0,0.0,0.0,,1388717.0,9.68,(1-4) LR Low Rise,unheated,none,none,98101,92.0,80 à 100,33612.0,0.295935496909096
32,2015,1.0,30301,112676.0,42000.0,4500.0,,5159342.0,249.43,(5-9) MR Mid Rise,hotel-like,parking,shops,98101,31.0,20 à 40,16046.875,0.48872041340933375
33,2015,1.0,38281,128909.0,0.0,0.0,20.0,11026945.0,319.73,(10+) HR High Rise,hotel-like,none,none,98101,21.0,20 à 40,13358.5,0.37468872414651977
34,2015,1.0,0,126351.0,0.0,0.0,57.0,6283226.0,244.51,(1-4) LR Low Rise,school,none,none,other,67.0,60 à 80,126351.0,2.284912729638756
35,2015,1.0,16200,47994.0,0.0,0.0,60.0,4341706.0,125.57,(5-9) MR Mid Rise,hotel-like,none,none,98121,44.0,40 à 60,10442.0,0.5982995419067229
36,2015,1.0,0,164229.0,0.0,0.0,80.0,6387710.0,260.37,(1-4) LR Low Rise,school,none,none,98125,73.0,60 à 80,80322.5,10.889694692184214
37,2015,1.0,0,55166.0,0.0,0.0,94.0,1472548.0,10.27,(1-4) LR Low Rise,school,none,none,98109,33.0,20 à 40,25791.0,2.345228828125607
38,2015,1.0,0,40943.0,18153.0,4307.0,,3988729.0,149.39,(1-4) LR Low Rise,office,school,other,98103,116.0,> 100,29087.333333333332,5.3307017910785515
40,2015,1.0,0,81871.0,0.0,0.0,20.0,7419765.0,243.37,(1-4) LR Low Rise,hotel-like,none,none,98105,28.0,20 à 40,20467.75,6.13560127751826
41,2015,1.0,0,26225.0,0.0,0.0,77.0,306721.0,3.71,(1-4) LR Low Rise,unheated,none,none,98105,67.0,60 à 80,63197.0,5.917957717353682
50,2015,1.0,0,54986.0,0.0,0.0,91.0,1655612.0,28.78,(1-4) LR Low Rise,school,none,none,other,32.0,20 à 40,27493.0,6.250447056430117
51,2015,1.0,0,182861.0,0.0,0.0,88.0,6227419.0,258.67,(1-4) LR Low Rise,school,none,none,98115,72.0,60 à 80,87782.5,7.975183567412692
52,2015,1.0,0,55586.0,39314.0,0.0,57.0,6043853.0,123.08,(1-4) LR Low Rise,office,unheated,none,98107,61.0,60 à 80,47450.0,6.772909930453715
53,2015,1.0,0,51029.0,7849.0,0.0,93.0,2137686.0,56.97,(1-4) LR Low Rise,office,school,none,98144,122.0,> 100,26277.0,4.3319266852818625
54,2015,1.0,0,175015.0,0.0,0.0,95.0,7080118.0,251.72,(1-4) LR Low Rise,school,none,none,98103,68.0,60 à 80,58338.333333333336,8.113104916750443
55,2015,1.0,0,38439.0,28197.0,3859.0,,2147062.0,39.87,(1-4) LR Low Rise,unheated,other,office,98121,111.0,> 100,23528.666666666668,1.3119418118932382
56,2015,1.0,205970,348630.0,0.0,0.0,68.0,15660628.0,263.85,(10+) HR High Rise,hotel-like,none,none,98101,53.0,40 à 60,5260.0,0.7236344248747425
57,2015,1.0,0,103501.0,65676.0,354.0,79.0,9213841.0,64.23,(5-9) MR Mid Rise,office,shops,datacenter,98101,49.0,40 à 60,33623.0,0.5789643130675741
59,2015,1.0,0,34947.0,4993.0,0.0,,3915947.0,27.3,(5-9) MR Mid Rise,office,shops,none,98101,112.0,> 100,7425.0,0.683185484003475
60,2015,1.0,0,23500.0,23500.0,5459.0,,15583947.0,583.41,(1-4) LR Low Rise,other,shops,office,98101,96.0,80 à 100,26274.5,0.8370668547568183
62,2015,1.0,10043,83591.0,10043.0,5000.0,46.0,6175812.0,77.8,(10+) HR High Rise,hotel-like,parking,shops,98101,92.0,80 à 100,4429.55,0.4133692371684693
63,2015,1.0,146694,994212.0,117668.0,0.0,60.0,85357952.0,2846.07,(10+) HR High Rise,hotel-like,parking,other,98101,40.0,20 à 40,24927.0,0.5548628195757634
65,2015,1.0,0,41340.0,13730.0,9604.0,99.0,5040382.0,126.83,(5-9) MR Mid Rise,hotel-like,parking,shops,98101,37.0,20 à 40,10164.285714285714,0.8782196360693577
66,2015,1.0,0,88360.0,26450.0,8000.0,99.0,5086863.0,209.92,(5-9) MR Mid Rise,hotel-like,other,shops,98101,114.0,> 100,17544.285714285714,0.7128179896238237
68,2015,1.0,34735,107547.0,3000.0,0.0,83.0,6722886.0,191.58,(5-9) MR Mid Rise,hotel-like,shops,none,98109,22.0,20 à 40,16531.14285714286,0.8156970859447832
69,2015,1.0,28200,88490.0,28300.0,0.0,84.0,6014078.0,170.01,(5-9) MR Mid Rise,hotel-like,parking,none,98109,25.0,20 à 40,14683.333333333334,0.8346047466889112
70,2015,1.0,36744,155602.0,0.0,0.0,81.0,6915293.0,156.59,(5-9) MR Mid Rise,hotel-like,none,none,98119,24.0,20 à 40,19809.666666666668,1.9896631533589242
73,2015,1.0,0,56072.0,0.0,0.0,77.0,3106930.0,139.62,(1-4) LR Low Rise,school,none,none,other,111.0,> 100,18690.666666666668,2.828995871514928
77,2015,1.0,44891,78051.0,44891.0,0.0,94.0,5276777.0,169.49,(1-4) LR Low Rise,hotel-like,parking,none,98109,23.0,20 à 40,19512.75,1.2744068103127093
82,2015,1.0,0,54984.0,0.0,0.0,65.0,3504957.0,85.51,(1-4) LR Low Rise,office,none,none,98122,60.0,40 à 60,27492.0,2.0181039394906577
84,2015,1.0,0,296313.0,0.0,0.0,50.0,45494324.0,1858.84,(5-9) MR Mid Rise,hotel-like,parking,none,98126,100.0,80 à 100,43520.6,7.225409225738006
85,2015,1.0,0,93397.0,0.0,0.0,1.0,16371764.0,602.0,(1-4) LR Low Rise,hotel-like,none,none,98133,52.0,40 à 60,46698.5,12.112851956486162
86,2015,1.0,20732,63371.0,20732.0,0.0,68.0,3979132.0,74.04,(5-9) MR Mid Rise,hotel-like,parking,none,98109,14.0,0 à 20,10561.833333333334,0.45868267009218766
89,2015,1.0,0,179014.0,0.0,0.0,48.0,18868768.0,563.78,(1-4) LR Low Rise,office,none,none,98122,57.0,40 à 60,59671.333333333336,1.0260089938250936
95,2015,1.0,0,76631.0,0.0,0.0,24.0,7231928.0,255.64,(5-9) MR Mid Rise,hotel-like,none,none,98104,114.0,> 100,10947.285714285714,0.9494438027292713
96,2015,1.0,18493,40174.0,20868.0,17020.0,,15240688.0,444.42,(5-9) MR Mid Rise,office,parking,office,98104,39.0,20 à 40,28184.5,1.0180599194995348
98,2015,1.0,0,72072.0,0.0,0.0,95.0,1074180.0,39.69,(1-4) LR Low Rise,shops,none,none,98109,93.0,80 à 100,29160.0,0.7711278322358384
100,2015,1.0,0,261826.0,150726.0,15139.0,96.0,13300859.0,131.03,(5-9) MR Mid Rise,office,parking,other,98109,12.0,0 à 20,63261.2,0.9319250898425129
102,2015,1.0,44766,235788.0,51537.0,0.0,40.0,18829136.0,509.18,(5-9) MR Mid Rise,hotel-like,parking,none,98109,32.0,20 à 40,34013.857142857145,1.1537525242191944
103,2015,1.0,0,368000.0,0.0,0.0,,29337400.0,760.51,(1-4) LR Low Rise,other,none,none,98109,60.0,40 à 60,129000.0,1.5687448081833373
104,2015,1.0,0,65000.0,0.0,0.0,,5069854.0,123.28,(1-4) LR Low Rise,other,none,none,98109,60.0,40 à 60,91213.0,1.5687448081833373
106,2015,1.0,0,278500.0,0.0,0.0,,27185096.0,900.81,(5-9) MR Mid Rise,other,none,none,98109,84.0,80 à 100,79217.0,1.384575831952579
107,2015,1.0,0,598801.0,310699.0,26203.0,89.0,41734776.0,636.96,(10+) HR High Rise,office,parking,other,98109,12.0,0 à 20,47610.75,0.5741321163966687
110,2015,1.0,0,52000.0,0.0,0.0,,2632472.0,96.39,(1-4) LR Low Rise,other,none,none,98109,60.0,40 à 60,24840.0,1.6077110774986865
111,2015,1.0,0,108000.0,0.0,0.0,,924980.0,6.45,(1-4) LR Low Rise,other,none,none,98109,94.0,80 à 100,60696.0,1.4834437716593627
112,2015,1.0,0,296000.0,0.0,0.0,,20828130.0,398.51,(1-4) LR Low Rise,other,none,none,98109,94.0,80 à 100,131024.0,1.4834437716593627
113,2015,1.0,2352,45900.0,5181.0,4551.0,,4329966.0,30.19,(1-4) LR Low Rise,office,datacenter,distribution center,98109,36.0,20 à 40,31944.0,1.3899614318202593
114,2015,1.0,303707,729584.0,185014.0,6000.0,93.0,36681188.0,634.03,(5-9) MR Mid Rise,office,parking,other,98109,12.0,0 à 20,102815.16666666667,1.1453104569378132
115,2015,1.0,25930,48546.0,21454.0,2406.0,72.0,3303553.0,45.83,(1-4) LR Low Rise,office,parking,other,98119,52.0,40 à 60,12570.75,1.894667229463121
116,2015,1.0,36934,59976.0,36934.0,0.0,52.0,5061274.0,138.68,(5-9) MR Mid Rise,hotel-like,parking,none,98109,20.0,0 à 20,13467.333333333334,1.8961108708268317
117,2015,1.0,0,50017.0,0.0,0.0,51.0,5570472.0,196.34,(1-4) LR Low Rise,hotel-like,other,none,98105,60.0,40 à 60,12504.25,4.803127916630892
118,2015,1.0,0,74768.0,0.0,0.0,85.0,1857329.0,25.2,(1-4) LR Low Rise,school,none,none,98106,23.0,20 à 40,24822.666666666668,6.20166173064344
119,2015,1.0,0,67743.0,0.0,0.0,43.0,2303288.0,63.95,(1-4) LR Low Rise,school,none,none,other,99.0,80 à 100,22581.0,2.2438178650220544
120,2015,1.0,0,194104.0,0.0,0.0,100.0,5889882.0,229.98,(5-9) MR Mid Rise,school,none,none,other,114.0,> 100,32350.666666666668,2.495267482736402
121,2015,1.0,35752,63681.0,35752.0,0.0,71.0,4439034.0,30.95,(1-4) LR Low Rise,office,parking,none,98144,19.0,0 à 20,21227.0,4.316214381855475
122,2015,1.0,0,60725.0,0.0,0.0,71.0,2150120.0,14.99,(1-4) LR Low Rise,school,none,none,98144,31.0,20 à 40,29466.5,5.7511696696875605
125,2015,1.0,0,132060.0,0.0,0.0,65.0,5851209.0,211.49,(1-4) LR Low Rise,school,none,none,98108,65.0,60 à 80,130862.0,6.1347927607611155
127,2015,1.0,0,59955.0,0.0,0.0,94.0,1521329.0,15.1,(1-4) LR Low Rise,school,none,none,98118,33.0,20 à 40,19985.0,8.09203296698502
130,2015,1.0,0,93218.0,0.0,0.0,84.0,3072599.0,97.38,(1-4) LR Low Rise,school,none,none,98119,58.0,40 à 60,46609.0,2.9682235977713947
131,2015,1.0,0,49000.0,0.0,0.0,,6443260.0,44.92,(1-4) LR Low Rise,other,none,none,98115,81.0,80 à 100,14130.25,6.740896568284229
132,2015,1.0,0,119146.0,0.0,0.0,,4461969.0,139.24,(1-4) LR Low Rise,other,parking,none,98115,93.0,80 à 100,103467.0,6.767672890252533
136,2015,1.0,0,51390.0,0.0,0.0,86.0,3864699.0,138.87,(1-4) LR Low Rise,hotel-like,parking,none,98133,21.0,20 à 40,12847.5,12.850355133006284
137,2015,1.0,0,131909.0,0.0,0.0,88.0,3939221.0,127.52,(1-4) LR Low Rise,school,none,none,98133,59.0,40 à 60,65506.5,12.173382704820998
138,2015,1.0,0,245587.0,0.0,0.0,95.0,10444297.0,377.09,(1-4) LR Low Rise,school,none,none,98133,63.0,60 à 80,245587.0,12.229627496666986
139,2015,1.0,0,70609.0,0.0,0.0,75.0,3298570.0,88.4,(1-4) LR Low Rise,hotel-like,none,none,98133,20.0,0 à 20,23046.0,12.162623895795347
140,2015,1.0,0,66588.0,0.0,0.0,75.0,2033074.0,14.17,(1-4) LR Low Rise,school,none,none,98103,31.0,20 à 40,22196.0,4.454551242755419
