BuildingType,PrimaryPropertyType,LargestPropertyUseType,count,mean
NonResidential,Other,Data Center,4,158452418.5
NonResidential,Hospital,Hospital (General Medical & Surgical),18,137649762.25694445
NonResidential,Other,Convention Center,1,77164568.0
Campus,University,College/University,5,57157340.7
Campus,Large Office,Office,2,52870238.0
Campus,College/University,College/University,5,51547681.6
Campus,Other,Other,8,49899276.8125
NonResidential,Other,Courthouse,2,49158558.0
Nonresidential COS,Large Office,Office,6,32604981.833333332
NonResidential,Other,Laboratory,8,29658238.625
NonResidential,Mixed Use Property,Other - Entertainment/Public Assembly,5,28225351.85
NonResidential,Laboratory,Laboratory,10,26293127.6
NonResidential,Other,Urgent Care/Clinic/Other Outpatient,8,25579517.78125
NonResidential,Mixed Use Property,Parking,21,24540583.44047619
Campus,Mixed Use Property,Parking,2,22347270.0
NonResidential,Mixed Use Property,Laboratory,3,20158212.5
NonResidential,Other,Lifestyle Center,4,19549465.75
NonResidential,Large Office,Office,312,16981498.30408654
NonResidential,Supermarket/Grocery Store,Wholesale Club/Supercenter,1,13424079.0
NonResidential,Mixed Use Property,Restaurant,3,13248962.333333334
NonResidential,Other,Wholesale Club/Supercenter,1,13146645.0
Nonresidential COS,Other,Police Station,2,12069300.0
NonResidential,Medical Office,Medical Office,69,12032393.507246377
NonResidential,Senior Care Community,Senior Care Community,39,11706779.474358974
NonResidential,Hotel,Hotel,137,11702321.076186132
SPS-District K-12,Other,Other,4,11199824.3125
Nonresidential COS,Other,Other - Entertainment/Public Assembly,6,11031106.708333334
NonResidential,Other,Other - Entertainment/Public Assembly,30,10910207.33125
NonResidential,Other,Strip Mall,10,10010254.125
NonResidential,Supermarket/Grocery Store,Supermarket/Grocery Store,73,9949461.868150685
Campus,Mixed Use Property,Retail Store,4,9619526.875
NonResidential,Mixed Use Property,Hotel,2,9102583.0
NonResidential,Other,Other,118,8529090.316873727
NonResidential,Mixed Use Property,Medical Office,4,8309350.625
NonResidential,Restaurant,Other - Restaurant/Bar,1,7798464.0
NonResidential,Other,Parking,29,7606681.0625
NonResidential,Other,Other - Education,3,7470286.666666667
NonResidential,Other,Other - Recreation,20,7270296.09375
Nonresidential COS,Other,Other,38,7104916.981907895
NonResidential,Mixed Use Property,Residence Hall/Dormitory,2,7079691.0
NonResidential,University,College/University,15,7059030.779173333
Campus,Restaurant,Restaurant,2,6952584.5
NonResidential,Other,Other/Specialty Hospital,6,6792390.25
Nonresidential COS,Other,Museum,4,6701365.25
NonResidential,Other,Fitness Center/Health Club/Gym,6,6637587.583333333
NonResidential,Other,Other - Mall,4,6636162.0
